t_rel_s,event,seq,info
1.21163,ack,199,
1.211636,ack,197,
1.21212,send,213,
1.212187,send,214,
1.212307,send,215,
1.212595,send,216,
1.212649,ack,201,
1.212657,send,217,
1.21268,ack,202,
1.212846,send,218,
1.212949,ack,205,
1.213007,ack,203,
1.213087,send,219,
1.213242,ack,204,
1.213403,send,220,
1.21368,send,221,
1.213734,ack,206,
1.213999,send,222,
1.214082,ack,209,
1.214111,ack,207,
1.214118,send,223,
1.214255,ack,208,
1.214388,send,224,
1.214515,send,225,
1.215584,ack,211,
1.216123,ack,210,
1.21636,send,226,
1.216925,send,227,
1.216981,ack,213,
1.217054,ack,218,
1.217065,ack,214,
1.21716,ack,212,
1.217402,send,228,
1.217619,send,229,
1.217818,send,230,
1.217926,ack,215,
1.218058,send,231,
1.21812,ack,221,
1.218147,ack,219,
1.218331,ack,222,
1.218391,ack,220,
1.218447,ack,224,
1.219452,ack,225,
1.219889,ack,227,
1.220227,ack,228,
1.22024,ack,230,
1.220346,ack,229,
1.220672,ack,231,
1.313186,timeout,216,deneme=0
1.313911,retransmit,216,
1.313925,timeout,217,deneme=0
1.314445,retransmit,217,
1.316244,timeout,223,deneme=0
1.316853,retransmit,223,
1.318339,ack,216,
1.318353,timeout,226,deneme=0
1.319137,retransmit,226,
1.319798,send,232,
1.319987,ack,217,
1.320639,send,233,
1.322805,send,234,
1.323704,send,235,
1.324723,send,236,
1.326595,send,237,
1.327402,send,238,
1.327545,ack,223,
1.327936,send,239,
1.328187,send,240,
1.32899,send,241,
1.32904,ack,232,
1.329064,ack,226,
1.329901,send,242,
1.330654,send,243,
1.331319,send,244,
1.331637,send,245,
1.332089,send,246,
1.332982,send,247,
1.333745,send,248,
1.334055,ack,234,
1.334177,ack,233,
1.334498,send,249,
1.334648,send,250,
1.334765,ack,235,
1.335159,send,251,
1.33519,ack,236,
1.335704,send,252,
1.335738,ack,237,
1.336025,send,253,
1.336124,ack,238,
1.336425,send,254,
1.336438,ack,239,
1.33662,send,255,
1.336648,ack,240,
1.336754,send,256,
1.337187,ack,241,
1.337695,send,257,
1.337882,ack,243,
1.337919,ack,242,
1.338095,send,258,
1.338299,send,259,
1.338329,ack,246,
1.338355,ack,245,
1.338407,ack,244,
1.338458,send,260,
1.338463,send,261,
1.338808,send,262,
1.338948,ack,248,
1.33896,ack,249,
1.338971,ack,251,
1.338978,ack,250,
1.339002,ack,253,
1.339027,ack,252,
1.339157,ack,254,
1.339733,ack,255,
1.340055,ack,257,
1.340221,ack,258,
1.340582,ack,256,
1.340654,ack,260,
1.340856,ack,259,
1.34168,ack,262,
1.434068,timeout,247,deneme=0
1.434667,retransmit,247,
1.438402,ack,247,
1.438964,send,263,
1.439448,send,264,
1.439792,send,265,
1.440121,send,266,
1.44117,send,267,
1.442439,send,268,
1.444097,send,269,
1.44482,send,270,
1.446304,send,271,
1.447164,send,272,
1.447183,send,273,
1.449265,send,274,
1.449719,send,275,
1.450066,send,276,
1.450165,ack,263,
1.450175,timeout,261,deneme=0
1.450558,retransmit,261,
1.450616,ack,264,
1.450641,ack,265,
1.450666,ack,266,
1.450726,ack,267,
1.450759,ack,269,
1.450814,ack,268,
1.452095,ack,270,
1.452274,ack,272,
1.452305,ack,274,
1.452752,ack,271,
1.45385,ack,276,
1.454021,ack,261,
1.454339,send,277,
1.45454,send,278,
1.454768,send,279,
1.455096,send,280,
1.455417,send,281,
1.456364,send,282,
1.456543,send,283,
1.45715,send,284,
1.457733,send,285,
1.458065,send,286,
1.458981,send,287,
1.459464,send,288,
1.459552,ack,275,
1.459583,ack,278,
1.459609,ack,277,
1.45965,ack,280,
1.459723,ack,281,
1.459805,ack,279,
1.459968,ack,283,
1.460219,ack,282,
1.460457,ack,284,
1.460474,ack,286,
1.461026,ack,285,
1.46159,ack,287,
1.461982,ack,288,
1.548371,timeout,273,deneme=0
1.549032,retransmit,273,
1.551755,ack,273,
1.552157,send,289,
1.552517,send,290,
1.552962,send,291,
1.55346,send,292,
1.554646,send,293,
1.555772,send,294,
1.556256,send,295,
1.557211,send,296,
1.557618,send,297,
1.557943,send,298,
1.558289,send,299,
1.559439,send,300,
1.559942,send,301,
1.560169,send,302,
1.560482,send,303,
1.560977,send,304,
1.56104,ack,290,
1.561215,ack,289,
1.563048,send,305,
1.563405,send,306,
1.563441,ack,292,
1.563495,ack,291,
1.56387,send,307,
1.564464,send,308,
1.564571,ack,293,
1.565282,send,309,
1.565307,ack,294,
1.565467,send,310,
1.565634,ack,295,
1.565649,send,311,
1.565804,ack,296,
1.566299,send,312,
