t_rel_s,event,seq,info
1.672695,data_received,321,
1.768564,dup_data,312,
1.772772,data_received,328,
1.773736,data_received,329,
1.774364,data_received,330,
1.775121,data_received,331,
1.776673,data_received,332,
1.777139,data_received,333,
1.777843,data_received,334,
1.780955,data_received,335,
1.781706,data_received,336,
1.782841,data_received,337,
1.783405,data_received,338,
1.783731,data_received,339,
1.784031,data_received,340,
1.784208,data_received,342,
1.784421,data_received,343,
1.784705,data_received,341,
1.784876,data_received,344,
1.78501,data_received,345,
1.874962,dup_data,330,
1.877195,data_received,346,
1.877477,data_received,347,
1.877837,data_received,350,
1.878253,data_received,348,
1.878492,data_received,349,
1.878699,data_received,354,
1.878962,data_received,352,
1.879325,data_received,353,
1.879679,data_received,351,
1.879944,data_received,355,
1.880315,data_received,357,
1.880973,data_received,356,
1.881448,data_received,358,
1.88188,data_received,359,
1.88206,data_received,361,
1.883423,data_received,360,
1.883595,data_received,364,
1.883903,data_received,362,
1.884412,data_received,363,
1.885549,data_received,365,
1.885862,data_received,366,
1.886295,data_received,367,
1.886549,data_received,369,
1.886797,data_received,368,
1.887485,data_received,372,
1.888236,data_received,371,
1.888546,data_received,370,
1.888667,data_received,373,
1.888956,data_received,374,
1.889245,data_received,375,
1.889542,data_received,376,
1.890653,data_received,378,
1.891584,data_received,379,
1.891921,data_received,377,
1.892109,data_received,380,
1.892471,data_received,381,
1.892955,data_received,383,
1.893215,data_received,384,
1.893224,data_received,382,
1.893324,data_received,386,
1.89344,data_received,388,
1.893461,data_received,385,
1.894254,data_received,389,
1.894391,data_received,390,
1.895296,data_received,395,
1.895363,data_received,394,
1.896198,data_received,393,
1.896444,data_received,396,
1.896636,data_received,397,
1.896928,data_received,398,
1.897067,data_received,399,
1.994152,data_received,387,
1.995097,dup_data,384,
1.995615,dup_data,388,
1.997059,data_received,391,
1.998046,data_received,392,
2.000143,dup_data,395,
2.001995,data_received,401,
2.002415,data_received,400,
2.003445,data_received,402,
2.003914,data_received,404,
2.004764,data_received,403,
2.005292,data_received,406,
2.005634,data_received,405,
2.097058,dup_data,391,
2.103709,data_received,408,
2.105959,data_received,407,
2.107434,data_received,414,
2.108154,data_received,409,
2.109016,data_received,413,
2.110528,data_received,410,
2.111556,data_received,415,
2.11258,data_received,416,
2.112969,data_received,417,
2.113241,data_received,418,
2.11327,data_received,419,
2.11356,data_received,420,
2.113883,data_received,422,
2.114184,data_received,423,
2.114382,data_received,421,
2.114398,data_received,424,
2.115092,data_received,425,
2.115582,data_received,426,
2.203658,data_received,411,
2.203983,data_received,412,
2.206573,data_received,427,
2.20702,data_received,428,
2.207613,data_received,429,
2.208059,data_received,431,
2.208295,data_received,430,
2.208761,data_received,433,
2.209026,data_received,432,
2.209666,dup_data,418,
2.211296,dup_data,421,
2.213183,data_received,435,
2.213461,data_received,434,
2.21443,data_received,438,
2.214859,data_received,439,
2.215222,data_received,437,
2.216905,data_received,441,
2.217567,data_received,440,
2.218607,data_received,442,
2.218886,data_received,444,
2.21933,data_received,443,
2.220421,data_received,445,
2.220859,data_received,447,
2.221058,data_received,448,
2.221191,data_received,446,
2.221474,data_received,449,
2.221727,data_received,450,
2.221741,data_received,451,
2.314468,data_received,436,
2.320228,data_received,453,
2.321063,data_received,452,
2.323097,data_received,454,
2.323637,data_received,456,
2.324376,data_received,455,
2.325026,data_received,458,
2.325915,data_received,457,
2.328028,data_received,459,
2.329353,data_received,460,
2.330293,data_received,461,
2.331052,data_received,462,
2.334128,data_received,464,
2.335809,dup_data,450,
2.337628,data_received,465,
2.338281,data_received,463,
2.341057,data_received,467,
2.342504,data_received,466,
2.342916,data_received,468,
2.343303,data_received,469,
2.420608,dup_data,454,
2.423167,data_received,470,
2.423377,data_received,471,
2.423622,data_received,472,
2.424081,data_received,474,
2.424329,data_received,473,
2.425889,data_received,475,
2.428802,dup_data,460,
2.430835,data_received,476,
2.431759,data_received,480,
2.432079,data_received,479,
2.432694,data_received,478,
2.432898,data_received,481,
2.434075,data_received,483,
2.434621,data_received,482,
2.435076,data_received,487,
2.435472,data_received,484,
2.435618,data_received,477,
2.435706,data_received,489,
2.435818,data_received,491,
2.435966,data_received,488,
2.436236,data_received,492,
2.438571,data_received,495,
2.438737,data_received,494,
2.439265,data_received,500,
2.439758,data_received,493,
2.439911,data_received,497,
2.440073,data_received,498,
2.440187,data_received,496,
2.440196,data_received,499,
2.534688,data_received,485,
2.53545,data_received,486,
2.539706,data_received,501,
2.540457,data_received,503,
2.541011,data_received,502,
2.541446,data_received,504,
2.54264,data_received,505,
2.543888,dup_data,496,
2.638418,data_received,490,
2.642474,data_received,506,
2.643284,data_received,508,
2.643808,data_received,509,
2.644687,data_received,510,
2.645319,data_received,511,
2.744847,data_received,507,
2.745529,dup_data,508,
2.82239,fin_received,-1,OK
